Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Highest education level completed,Political affiliation (uk),Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69151bc6b970b1bbab00f947,671b7e4bae55f6351eb2ed5e,AWAITING REVIEW,Not Applicable,2025-11-12T23:44:09.040000Z,2025-11-13T00:04:07.575000Z,,2025-11-13T00:04:08.008330Z,1199.0,CBN3YT5G,17,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Left,21,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
69151c340761fbcf4712dd4f,661149a91b7fad3a3d2caf0c,AWAITING REVIEW,Not Applicable,2025-11-12T23:46:02.598000Z,2025-11-13T00:03:37.087000Z,,2025-11-13T00:03:38.389208Z,1055.0,CBN3YT5G,1229,Woman (including Trans Female/Trans Woman),Doctorate degree (PhD/other),Left,31,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
69151dc5dcaa9eed35ea2042,568aab53316b10000d50d76b,AWAITING REVIEW,Not Applicable,2025-11-12T23:52:40.813000Z,2025-11-13T00:13:57.042000Z,,2025-11-13T00:13:57.465377Z,1277.0,CBN3YT5G,4181,Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Left,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
69151e04e7db96f20069e6b4,63222311994c6e4c35bb2a55,AWAITING REVIEW,Not Applicable,2025-11-12T23:53:47.813000Z,2025-11-13T00:26:43.243000Z,,2025-11-13T00:26:43.683252Z,1976.0,CBN3YT5G,4050,Man (including Trans Male/Trans Man),Secondary education (e.g. GED/GCSE),Centre,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
69151e25a7a079630ba2b962,5db0e17518230d00170d4332,AWAITING REVIEW,Not Applicable,2025-11-12T23:54:17.238000Z,2025-11-13T00:23:10.477000Z,,2025-11-13T00:23:10.954213Z,1734.0,CBN3YT5G,7871,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Centre,50,Male,White,United States,United States,United Kingdom,English,No,Full-Time
69152058e1883d8d0a2b1999,57c357770e6a1f00015f6038,AWAITING REVIEW,Not Applicable,2025-11-13T00:04:39.265000Z,2025-11-13T00:24:27.902000Z,,2025-11-13T00:24:28.303420Z,1189.0,CBN3YT5G,4916,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Left,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
691520666fa62a2d05806715,5c51c71e556ac300018be1b7,AWAITING REVIEW,Not Applicable,2025-11-13T00:04:30.386000Z,2025-11-13T00:32:41.716000Z,,2025-11-13T00:32:42.153866Z,1692.0,CBN3YT5G,2122,Man (including Trans Male/Trans Man),High school diploma/A-levels,Left,46,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6915206cf85d98720adf13a3,66e40208442e7106cd47bfc7,AWAITING REVIEW,Not Applicable,2025-11-13T00:04:06.309000Z,2025-11-13T00:31:00.272000Z,,2025-11-13T00:31:00.738873Z,1614.0,CBN3YT5G,523,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Left,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6915207dd48a7a4b662a2c2b,67177bd7e5b746f622869d13,AWAITING REVIEW,Not Applicable,2025-11-13T00:04:17.549000Z,2025-11-13T00:24:22.816000Z,,2025-11-13T00:24:23.282634Z,1206.0,CBN3YT5G,352,Man (including Trans Male/Trans Man),High school diploma/A-levels,Left,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
691520ed62ee4ed67dda2348,5e904f36cc3d6c355bbf48fa,AWAITING REVIEW,Not Applicable,2025-11-13T00:06:08.890000Z,2025-11-13T00:44:42.488000Z,,2025-11-13T00:44:42.898961Z,2314.0,CBN3YT5G,4277,Man (including Trans Male/Trans Man),Technical/community college,Left,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
